gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ak1,1.430741124,0.964643721,0.616900965,1.563693001,0.117889682,0.349023937
Ak2,1.39224044,0.015703951,0.267827593,0.058634551,0.95324319,0.975171081
Ak3,0.996980573,0.327070945,0.461710362,0.708389874,0.478703179,0.664461765
Ak4,0.309290515,1.219459232,0.567710187,2.148031265,0.031711272,0.228098715
Ak5,31.33570721,-0.025400522,0.133699044,-0.189982824,0.84932259,0.916628986
Ak6,3.149555401,0.239195877,0.315672073,0.757735313,0.448609454,0.642283857
Ak7,1.362863055,0.383278999,0.55204084,0.694294645,0.487497449,0.670616756
Ak8,0.297545822,1.391585136,0.569192402,2.444841379,0.014491586,0.183711161
Ak9,0.169942465,1.363623809,0.744900245,1.830612645,0.06715838,0.286527965
Akap1,1.00407852,0.580734056,0.37442055,1.551020785,0.120896703,0.352918944
Akap10,11.48396449,0.204563486,0.146193057,1.399269504,0.161732181,0.394782379
Akap11,7.548974973,0.161784829,0.137569976,1.176018441,0.239587507,0.46793652
Akap12,2.749414367,0.036129263,0.251589289,0.143604138,0.885813073,0.93972088
Akap13,10.24150089,0.155479263,0.188899181,0.82308066,0.410462126,0.612740561
Akap14,0.132268934,1.930164107,0.885660133,2.179350786,0.029305619,NA
Akap17b,6.164981363,0.044960488,0.191264041,0.235070261,0.8141542,0.893874035
Akap3,0.002486044,2.009334291,2.979024721,0.674493997,0.499997301,NA
Akap4,0.026186472,1.707810682,2.981225804,0.572855192,0.566742745,NA
Akap5,1.070324435,0.429650167,0.486186398,0.883714905,0.376850132,0.584607907
Akap6,62.99009327,-0.059429845,0.051506864,-1.153823803,0.248572413,0.476236186
Akap7,6.716589457,-0.102660186,0.137392646,-0.747202917,0.454941084,0.646428995
Akap8,9.945074546,0.359332683,0.133392903,2.693791615,0.007064432,0.156155593
Akap8l,22.8247058,0.038631781,0.124809761,0.309525322,0.756921953,0.86029516
Akap9,27.86099821,0.249688126,0.143911061,1.735016923,0.082737808,0.306522197
Akip1,0.211915692,1.296288016,0.99412287,1.303951508,0.192250117,0.422930847
Akirin1,1.466149065,-0.037429307,0.268619748,-0.139339374,0.889181978,0.941385147
Akirin2,1.848521981,0.192147815,0.372673121,0.515593435,0.606138396,0.757253072
Akna,0.005669033,1.792800282,2.978028031,0.602009203,0.547168011,NA
Aknad1,0.051782153,1.304610094,2.629916362,0.496065241,0.619848382,NA
Aknaos,0,NA,NA,NA,NA,NA
Akp3,0,NA,NA,NA,NA,NA
Akr1a1,4.099942869,0.142234288,0.304584139,0.466978645,0.640515157,0.782114052
Akr1b10,1.660057027,0.645536859,0.452251888,1.427383448,0.153469399,0.386135714
Akr1b3,1.725220839,1.070623357,0.517960648,2.066997484,0.038734391,0.245074904
Akr1b7,0.009291297,1.531421236,2.981406122,0.513657373,0.60749156,NA
Akr1b8,0.019040294,1.42367919,2.979184878,0.477875408,0.632738886,NA
Akr1c12,0.007177008,1.818876744,2.980984235,0.6101598,0.541755957,NA
Akr1c13,0.035625198,1.531421228,2.981406122,0.51365737,0.607491561,NA
Akr1c14,0.012647674,1.637329548,2.981377668,0.549185555,0.582878117,NA
Akr1c18,0.001386842,1.91739685,2.9796326,0.643501098,0.519899002,NA
Akr1c19,0.007298883,1.521287883,2.979369898,0.510607254,0.609626095,NA
Akr1c20,0.037012039,1.761776146,2.979864477,0.591226936,0.554368377,NA
Akr1c21,0.001099202,1.888153253,2.979851514,0.633640047,0.526315759,NA
Akr1c6,0.045139151,1.422894817,2.667060253,0.533506814,0.593682796,NA
Akr1cl,0.030606418,2.038285817,2.978365017,0.684364007,0.493745338,NA
Akr1d1,0,NA,NA,NA,NA,NA
Akr1e1,0.449201488,1.289717332,0.434361728,2.969224147,0.002985527,0.120844534
Akr7a5,0.489245356,0.380779095,0.472185109,0.806419108,0.420001233,0.620252583
Akt1,0.771252589,0.24079706,0.316627466,0.760505912,0.446952237,0.641151365
Akt1s1,0.409531495,0.791046198,0.554052214,1.427746661,0.15336479,0.386135714
Akt2,1.738766428,0.37505453,0.273858603,1.369518888,0.170837135,0.402637831
Akt3,26.29486062,-0.13027674,0.116187051,-1.12126729,0.262174105,0.490366844
Aktip,2.703909732,0.12719512,0.193216174,0.658304725,0.510342343,0.687023824
Alad,0.941408067,0.290329589,0.371518681,0.781466999,0.434527879,0.63054741
Alas1,2.118645206,0.27050875,0.270745351,0.999126111,0.317733604,0.536638149
Alas2,0.462030532,0.653860188,0.484133587,1.350578034,0.176830641,0.408748904
Alb,0.037784792,1.965139295,2.256780857,0.870770987,0.383879209,NA
Alcam,22.79737496,0.113341232,0.139259503,0.813885078,0.41571079,0.616912924
Aldh16a1,0.284898603,1.054882484,0.611213113,1.725883266,0.084368416,0.308402032
Aldh18a1,0.508038426,1.635744756,0.578702238,2.826574097,0.004704886,0.132165524
Aldh1a1,6.275650402,-0.198098857,0.22940303,-0.863540716,0.387840243,0.594291801
Aldh1a2,0.737824352,1.888384378,0.901999751,2.093553104,0.036299809,0.241275624
Aldh1a3,0.020054264,1.762176766,2.37210758,0.742873882,0.45755804,NA
Aldh1a7,0.325140674,0.738458812,0.605425109,1.219736018,0.222564963,0.452256291
Aldh1b1,0.063606983,1.560324372,2.977150428,0.524099944,0.600209028,NA
Aldh1l1,0.125463797,0.575293113,1.25180786,0.45956982,0.645825026,NA
Aldh1l2,1.030559903,0.289603906,0.326941487,0.885797358,0.375726734,0.584374413
Aldh2,1.731685553,0.279232172,0.263338078,1.060356232,0.288982566,0.512314917
Aldh3a1,0,NA,NA,NA,NA,NA
Aldh3a2,1.522637388,-0.07159282,0.335069333,-0.213665688,0.83080777,0.904122527
Aldh3b1,0.043109199,2.377376192,2.158975697,1.101159311,0.270827327,NA
Aldh3b2,0.441183919,0.707045381,0.428850923,1.648697351,0.099209653,0.328454547
Aldh3b3,0.004905469,1.531421241,2.981406122,0.513657374,0.607491559,NA
Aldh5a1,1.456511939,0.382647884,0.271739429,1.408142668,0.159088829,0.391603766
Aldh6a1,2.032574101,0.361876772,0.30870666,1.172235068,0.241102693,0.469432317
Aldh7a1,1.128547439,0.358626696,0.355067927,1.010022782,0.312484375,0.532233028
Aldh8a1,0.04140364,2.111557441,2.740227707,0.770577363,0.440957483,NA
Aldh9a1,1.109965674,-0.053245906,0.396271308,-0.134367301,0.893112137,0.943940831
Aldoa,4.752212906,0.749902502,0.395454801,1.896303951,0.057919864,0.273966825
Aldoart1,0.014226215,1.880713314,2.980753975,0.630952212,0.528071771,NA
Aldoart2,0.002129332,1.717878782,2.979467504,0.576572418,0.564228336,NA
Aldob,0.512257876,1.031547306,0.460629359,2.239430217,0.025127937,0.210052845
Aldoc,5.993319282,0.023894854,0.459172687,0.052038926,0.958497677,0.97809855
Alg1,0.642334751,-0.02635051,0.450608268,-0.058477645,0.953368169,0.975171081
Alg10b,1.236853197,1.814483755,0.58895002,3.08087901,0.002063905,0.113421241
Alg11,0.757732989,0.698171493,0.379761598,1.838446795,0.065996595,0.285330517
Alg12,0.304106897,0.543352851,0.625142573,0.86916629,0.384756183,0.591521911
Alg13,1.603463814,0.357676612,0.258718201,1.382494971,0.166819774,0.400360342
Alg14,0.574916845,0.965823138,0.396066048,2.4385406,0.014746702,0.185204978
Alg2,1.274895466,-0.070710115,0.29693809,-0.238130833,0.811779621,0.892166003
Alg3,0.192864798,1.542591838,0.872344273,1.768329186,0.077005887,0.299955535
Alg5,0.595544759,0.603410855,0.375402166,1.607371799,0.107972833,0.338411736
Alg6,1.539659591,0.324153975,0.261345592,1.240326926,0.214854497,0.445732735
Alg8,1.582739753,0.470177976,0.336208363,1.398471982,0.161971381,0.394782593
Alg9,1.458934415,-0.098395887,0.245316714,-0.401097365,0.688348441,0.812944884
Alk,18.24818809,0.025910828,0.183381743,0.141294483,0.887637308,0.940646144
Alkbh1,4.415230429,0.193702442,0.209971508,0.922517744,0.356258579,0.568812875
Alkbh2,0.481218507,0.662184351,0.383392924,1.727168943,0.084137327,0.30821278
Alkbh3,1.35443448,0.294520948,0.272375793,1.08130368,0.279562051,0.504892663
Alkbh4,0.295530802,1.437430547,0.493161338,2.914726754,0.003560001,0.125218935
Alkbh5,1.531472236,0.239233838,0.313524058,0.763047786,0.445434898,0.639957786
Alkbh6,0.684894455,0.99090758,0.601683384,1.646892048,0.099580237,0.328848703
Alkbh7,0.26444708,0.587851033,0.560524389,1.048751927,0.294292308,0.517425718
