gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Adam7,0.658263371,1.046395012,0.614815159,1.701966837,0.088761585,0.213010619
Adam8,6.990250757,-0.376130456,0.163111481,-2.305971679,0.021112215,0.071260912
Adam9,36.70689923,-0.016803479,0.094291783,-0.178207245,0.85856022,0.948445476
Adamdec1,0.228288853,0.928868162,0.76557285,1.213298202,0.22501583,NA
Adamts1,1.640701525,0.005182657,0.331444608,0.01563657,0.987524331,0.994612466
Adamts10,51.84643041,-0.205177646,0.101104449,-2.029363178,0.042421313,0.122139877
Adamts12,9.075457535,0.275431513,0.197145144,1.397100164,0.162383452,0.332562622
Adamts13,0.747790504,0.720970116,0.423387438,1.70286138,0.088594013,0.212722882
Adamts14,1.714327476,0.968818264,0.438993074,2.206910134,0.027320338,0.086953505
Adamts15,3.35360798,-0.241965649,0.214857957,-1.126165646,0.260095412,0.46485225
Adamts16,67.17624939,-0.462664219,0.117808796,-3.927246813,8.59238E-05,0.000895816
Adamts17,133.7702279,-0.084042515,0.101685148,-0.826497445,0.408521967,0.629285753
Adamts18,31.41578776,-0.413257678,0.135238181,-3.055776676,0.002244784,0.012392504
Adamts19,23.02614056,-0.023471575,0.191279504,-0.122708258,0.902338124,0.965032905
Adamts2,41.0487423,-0.265758827,0.09371729,-2.835750226,0.004571819,0.021489331
Adamts20,29.99987875,-0.034460195,0.094083308,-0.366273204,0.714161223,0.874082563
Adamts3,68.00957492,-0.093878886,0.083429162,-1.125252645,0.26048199,0.46507792
Adamts4,2.184954713,-0.319581081,0.35071605,-0.911224568,0.362177062,0.58264659
Adamts5,17.00551945,-0.279832175,0.157873538,-1.772508411,0.0763102,0.190565712
Adamts6,143.4480927,-0.290383426,0.05851134,-4.96285726,6.94636E-07,1.65224E-05
Adamts7,1.241618051,-0.606155712,0.326568297,-1.856137652,0.06343394,0.165011906
Adamts8,2.136636254,0.661420392,0.244180271,2.708738049,0.006753964,0.029140919
Adamts9,18.19195999,0.482635043,0.218297683,2.21090319,0.027042542,0.086278586
Adamtsl1,232.0386341,0.048554035,0.14012795,0.346497861,0.728968592,0.883298694
Adamtsl2,4.498337202,-0.514586533,0.249688664,-2.060912672,0.039311372,0.115253091
Adamtsl3,38.40205035,-0.563531354,0.143475286,-3.927724202,8.57535E-05,0.000894876
Adamtsl4,5.106544889,0.486662037,0.200091327,2.432199559,0.015007436,0.054675198
Adamtsl5,15.87297611,0.303650003,0.18409003,1.649464686,0.099052472,0.23097405
Adap1,71.47609983,-0.101789753,0.050245677,-2.025841009,0.04278108,0.122827008
Adap2,2.984297739,-0.228594704,0.259285692,-0.881632545,0.377975549,0.599020634
Adap2os,0.845859537,0.854670178,0.369615097,2.312324861,0.020759788,0.070380128
Adar,213.1257123,-0.199174297,0.071780336,-2.774775214,0.005523987,0.024923293
Adarb1,235.8013932,-0.103387753,0.078528775,-1.316558836,0.187986545,0.369269924
Adarb2,1270.197616,-0.235050179,0.102497845,-2.293220687,0.021835303,0.072979934
Adat1,69.39809076,0.085925034,0.065890882,1.304050442,0.192216385,0.375167505
Adat2,1.337341285,0.606128984,0.302512132,2.003651825,0.04510737,0.128006937
Adat3,0,NA,NA,NA,NA,NA
Adck1,64.8112364,-0.060850066,0.061722596,-0.985863683,0.32420001,0.538872188
Adck2,9.803266116,-0.019480531,0.151304514,-0.128750496,0.897555078,0.963516814
Adck5,20.8855233,0.249738436,0.151260931,1.651043888,0.098729614,0.230437955
