gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Akap8,245.2977311,0.190703679,0.059141587,3.224527583,0.001261807,0.009833896
Akap8l,514.941575,0.098745869,0.055907061,1.766250401,0.077353849,0.212309452
Akap9,717.6437312,-0.039566407,0.098782831,-0.400539312,0.688759335,0.853883628
Akip1,3.150226665,-0.146680954,0.271364405,-0.540531296,0.588830684,0.788718898
Akirin1,38.40119721,0.20690847,0.070618645,2.929941069,0.003390263,0.020771726
Akirin1-ps,0.184573081,-0.184909076,2.981981707,-0.062008789,0.950555833,NA
Akirin2,52.6403061,-0.129118552,0.219031735,-0.589497005,0.55552792,0.764893196
Akna,2.579567027,0.675074316,0.339632756,1.987659628,0.046849347,0.148478692
Aknad1,1.480135729,0.056166139,0.451679987,0.124349408,0.901038629,0.958779768
Aknaos,0.29584956,0.476490964,0.748840542,0.636304977,0.524577662,NA
Akp3,0,NA,NA,NA,NA,NA
Akp-ps1,0.084340372,0.139615213,2.982438687,0.046812433,0.962662719,NA
Akr1a1,74.28774897,0.282454144,0.105457936,2.678358365,0.007398401,0.037813132
Akr1b10,38.30401595,0.347198583,0.155120732,2.238247453,0.025204923,0.094238933
Akr1b3,14.27288644,0.878365987,0.22752288,3.860561128,0.000113127,0.001541726
Akr1b7,0.293984813,0.348443521,1.500616737,0.23220021,0.816382515,NA
Akr1b8,1.667932748,-0.040435689,0.383540454,-0.105427443,0.916036641,0.965050937
Akr1c12,0.22036084,0.557390607,1.82461932,0.305483232,0.759998139,NA
Akr1c13,0.159926772,-0.242878484,2.976946119,-0.081586456,0.934975572,NA
Akr1c14,2.471459794,0.765106036,0.571793306,1.338081483,0.180869876,0.383945059
Akr1c18,0.334821552,0.09641936,0.955217206,0.100939723,0.91959831,NA
Akr1c19,0.139713023,-0.476226226,0.926418575,-0.514050818,0.607216462,NA
Akr1c20,0.529614407,0.73826634,0.546026431,1.352070702,0.176352699,0.377484005
Akr1c21,0.136753971,1.457872188,1.395168457,1.044943484,0.296049091,NA
Akr1c6,1.485304322,0.002762642,0.444960928,0.00620873,0.995046182,0.997632141
Akr1cl,0.89035372,-0.665666965,0.639267166,-1.041296973,0.297737741,0.530718569
Akr1d1,0.356066931,0.5319677,0.87374437,0.60883677,0.542632638,NA
Akr1e1,20.9221584,0.295346848,0.13304228,2.219947281,0.026422346,0.09779822
Akr7a5,11.46559405,-0.156000553,0.14376411,-1.085114724,0.277870847,0.508377584
Akt1,27.28302809,0.167690187,0.099234548,1.689836765,0.091059188,0.238190897
Akt1s1,10.80914014,0.076315139,0.172601243,0.442147101,0.658382762,0.835731705
Akt2,39.68190082,-0.129287302,0.11685808,-1.106361684,0.268570003,0.498194403
Akt2-ps,0.800944123,0.024710326,0.712989335,0.034657358,0.972352964,0.98823147
