gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Agtr2,0.282394545,0.861527332,0.971189431,0.887084748,0.375033275,NA
Agtrap,1.749256506,0.371812045,0.28535365,1.30298682,0.192579261,0.41577275
Agxt,0,NA,NA,NA,NA,NA
Agxt2,0.072936848,0.504217203,2.539855055,0.198522038,0.842636644,NA
Ahctf1,17.56592459,-0.013161763,0.097124633,-0.13551416,0.89220537,0.953191695
Ahcy,0.042649525,0.577186034,2.715744403,0.212533268,0.831691026,NA
Ahcyl1,20.28023386,0.03630825,0.085327446,0.425516659,0.67046008,0.838411588
Ahcyl2,59.90235106,-0.109898912,0.073144418,-1.502492117,0.132970062,0.329586923
Ahdc1,17.01206502,0.029102402,0.105034935,0.277073548,0.781723632,0.899201249
Ahi1,222.5468635,0.242308713,0.0786119,3.082341386,0.002053792,0.018638964
Ahnak,2.954014927,0.50757445,0.385285075,1.317399721,0.187704674,0.409945864
Ahnak2,0.564169532,0.063536651,0.834231287,0.076161914,0.939290283,0.972482431
Ahr,2.880645898,1.181751667,0.287707567,4.107475105,4.00008E-05,0.001017214
Ahrr,0.27275812,0.259142512,0.787249005,0.329174773,0.74202359,NA
Ahsa1,5.108690332,1.304509615,0.189999684,6.865851511,6.60958E-12,2.30965E-09
Ahsa2,7.468786602,-0.272888592,0.232615209,-1.17313306,0.240742451,0.477013808
Ahsg,0,NA,NA,NA,NA,NA
Aicda,0.021414561,0.59201449,2.982501911,0.19849593,0.842657069,NA
Aida,4.985089965,-0.179010475,0.163975028,-1.091693511,0.274967838,0.516786596
Aif1,0.28095054,0.728909006,0.949597088,0.767598189,0.442725938,NA
Aif1l,0.295295763,0.159718446,0.99072957,0.161212959,0.871925675,NA
Aifm1,13.28585483,0.09696741,0.110089093,0.880808505,0.378421476,0.616536894
Aifm2,1.336921607,-0.292007027,0.289821054,-1.007542492,0.313674149,0.555124518
Aifm3,29.07263638,-0.299756625,0.091530176,-3.274948636,0.001056812,0.011358547
Aig1,62.88090676,0.013823937,0.072201044,0.191464504,0.848161688,0.930730124
Aim1,0,NA,NA,NA,NA,NA
Aim1l,0,NA,NA,NA,NA,NA
Aim2,2.4521856,0.624434852,0.240051048,2.601258589,0.009288241,0.054359735
