gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aimp1,10.85591609,0.437039577,0.143960332,3.035833361,0.002398719,0.022990173
Aimp2,1.281981074,-0.040801485,0.369548688,-0.110408957,0.91208505,0.962298123
Aip,2.28690429,0.531301818,0.335433724,1.58392487,0.113210817,0.304676345
Aipl1,0.143719653,1.003401244,1.659197653,0.604750882,0.545344534,NA
Aire,0,NA,NA,NA,NA,NA
Airn,141.5986164,0.171444271,0.097767719,1.753587707,0.079501179,0.243663744
Ajap1,64.56890224,0.283391693,0.105757493,2.679637007,0.007370204,0.049772479
Ajuba,0.088965388,0.156802934,2.981878853,0.05258528,0.958062346,NA
Ak1,2.399447514,-0.486390597,0.271404192,-1.792126322,0.073112733,0.230381431
AK157302,0.055473907,0.362510122,2.975875392,0.121816298,0.903044506,NA
Ak2,8.039929846,-0.079474325,0.145619053,-0.545768727,0.585224923,0.78206831
Ak3,4.917185164,0.066799557,0.307582768,0.217175877,0.828071284,0.921040935
Ak4,1.542118052,-0.035057671,0.446339135,-0.078544918,0.937394601,0.972399436
Ak5,92.1977405,-0.245199161,0.106422874,-2.30400807,0.021222191,0.101257233
Ak6,8.440911014,0.231645409,0.145595463,1.591020793,0.111604896,0.301726928
Ak7,2.774443592,-0.111555143,0.289277662,-0.385633452,0.699768155,0.851663851
Ak8,1.551115707,0.177298661,0.326161093,0.543592308,0.586722054,0.783090228
Ak9,1.208621388,0.419689443,0.480374748,0.873670909,0.382297498,0.622303854
Akap1,7.68810598,0.023425229,0.156222816,0.149947553,0.880805994,0.946664835
Akap10,50.62239195,0.013602395,0.064442221,0.21107893,0.832825682,0.923129315
Akap11,44.34873962,0.020876563,0.065040064,0.320980041,0.748225516,0.880325397
Akap12,19.37311217,-0.034466564,0.113942539,-0.30249075,0.762277984,0.888063458
Akap13,38.69062989,-0.254650614,0.104566838,-2.435290378,0.014879843,0.079310906
Akap14,0.894593196,1.074824438,0.464758666,2.312650666,0.020741853,0.099575707
Akap17b,40.00973715,-0.007065033,0.080164123,-0.088132101,0.929771683,0.968946568
Akap3,0.09112667,0.818666167,2.348143885,0.348643953,0.727356626,NA
Akap4,0.067253525,0.425200839,2.982414626,0.142569325,0.886630325,NA
Akap5,6.267575819,0.330517581,0.260278145,1.269862981,0.204133441,0.437775516
Akap6,322.9799035,-0.181247858,0.052993933,-3.420162435,0.000625838,0.009219035
Akap7,35.87122173,0.03141046,0.079426374,0.395466367,0.692498738,0.847769313
Akap8,57.90304555,0.313756913,0.082339808,3.810513043,0.000138679,0.003070654
Akap8l,121.9133355,0.059141735,0.072027679,0.821097338,0.411590826,0.648056197
Akap9,151.1370301,0.018643842,0.11275245,0.165351988,0.868666942,0.942844574
Akip1,0.745373768,-0.004624744,0.58743542,-0.007872771,0.993718503,0.995640528
Akirin1,8.481195876,0.265904278,0.124069868,2.143181753,0.032098507,0.133737751
Akirin2,11.64985133,0.03337893,0.204007366,0.163616298,0.870033214,0.943353479
Akna,0.15781352,0.342651939,1.078617239,0.317677047,0.750729924,NA
Aknad1,0.237739518,0.121630129,1.254140923,0.096982825,0.922740034,NA
Aknaos,0,NA,NA,NA,NA,NA
Akp3,0,NA,NA,NA,NA,NA
Akr1a1,13.6405314,0.175709116,0.125478279,1.400314993,0.161419013,0.38024345
Akr1b10,6.594198941,0.398784769,0.230045142,1.733506586,0.083005668,0.25086572
Akr1b3,3.569745193,1.262764373,0.293487032,4.302624091,1.68787E-05,0.00062761
Akr1b7,0.070509698,0.425200841,2.982414626,0.142569325,0.886630325,NA
Akr1b8,0.173696455,-0.269597775,1.441685747,-0.187001762,0.851659251,NA
Akr1c12,0.021735596,0.767023982,2.982510423,0.257173948,0.797044494,NA
Akr1c13,0.087911178,0.291448437,2.982646229,0.097714719,0.922158828,NA
Akr1c14,0.109440371,0.162038995,2.596571245,0.062404987,0.950240324,NA
Akr1c18,0.044105356,0.762694033,2.979698601,0.255963483,0.797979034,NA
Akr1c19,0.058009506,-0.105624563,2.982117646,-0.035419314,0.971745384,NA
Akr1c20,0.166157799,0.697939095,1.588799049,0.439287206,0.660453444,NA
Akr1c21,0.004921838,0.795642979,2.981385637,0.266870199,0.789569102,NA
Akr1c6,0.19214317,0.194473302,1.189150821,0.163539644,0.870093562,NA
